state,city,year,education_services_exp,public_welfare_exp,hospital_exp,health_exp,police_protection_exp,fire_protection_exp,corrections_exp,inspection_and_regulation,parks_and_recreation_exp,housing_&_community_development_exp,financial_administration_exp,judicial_and_legal_exp,general_public_buildings_exp,other_governmental_admin_exp
AK,Anchorage,2010,"2,880",0,0,104,434,293,0,34,177,0,65,29,6,92
AK,Anchorage,2011,"2,787",0,0,93,411,311,0,32,142,0,61,35,5,73
AK,Anchorage,2012,"2,430",0,0,97,447,327,0,33,76,0,82,29,15,79
AK,Anchorage,2013,"2,472",0,0,129,454,336,0,0,26,0,0,27,0,77
AK,Anchorage,2014,"2,456",5,0,76,469,373,0,0,55,37,30,27,0,82
AK,Anchorage,2015,"2,730",5,0,83,483,385,0,0,127,34,67,28,0,87
AK,Anchorage,2016,"2,464",5,0,79,481,384,0,35,125,39,73,27,0,77
AK,Anchorage,2017,"2,366",5,0,71,445,386,0,33,118,40,66,26,0,58
AK,Fairbanks,2010,"2,690",0,0,55,337,300,0,21,95,136,138,15,0,88
AK,Fairbanks,2011,"2,632",0,0,51,354,261,0,21,94,125,130,14,0,80
AK,Fairbanks,2012,"2,404",0,0,61,215,276,0,22,92,144,114,17,0,126
AK,Fairbanks,2013,"2,421",0,0,66,293,265,0,0,138,140,93,16,0,83
AK,Fairbanks,2014,"2,371",0,0,41,264,287,0,21,134,155,130,31,0,112
AK,Fairbanks,2015,"2,554",0,0,21,292,281,0,21,100,158,135,23,0,86
AK,Fairbanks,2016,"2,186",0,0,23,237,311,0,22,98,158,147,17,0,83
AK,Fairbanks,2017,"2,192",0,0,42,208,328,0,22,97,156,94,16,1,109
AL,Birmingham,2010,"2,015",2,149,173,482,354,107,4,170,568,159,86,33,259
AL,Birmingham,2011,"2,047",0,148,84,441,313,87,80,145,474,107,67,131,142
AL,Birmingham,2012,"1,781",0,151,94,443,291,56,101,160,456,109,72,128,172
AL,Birmingham,2013,"1,540",0,155,84,471,280,58,57,178,442,143,93,135,144
AL,Birmingham,2014,"1,372",0,112,76,492,284,51,58,202,484,106,90,79,171
AL,Birmingham,2015,"1,375",0,0,151,497,287,57,62,210,510,102,107,71,157
AL,Birmingham,2016,"1,367",0,0,137,519,310,52,62,219,504,121,100,67,170
AL,Birmingham,2017,"1,347",0,0,135,527,308,52,66,245,491,118,122,71,185
AL,Mobile,2010,"1,531",20,0,173,392,170,70,3,171,399,93,66,46,115
AL,Mobile,2011,"1,483",39,0,176,416,205,48,27,174,523,68,41,73,64
AL,Mobile,2012,"1,439",11,0,195,338,136,62,24,160,313,76,59,47,107
AL,Mobile,2013,"1,485",12,0,226,332,141,61,24,118,257,78,40,39,107
AL,Mobile,2014,"1,443",12,0,279,337,141,61,25,117,283,99,41,42,105
